assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,False,True,0,0,0,0,438098,None,,0,0,-1,1,0.0,708,316,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,696,310,0,0,0,0.0,710,317,1,False,0.0,710,317,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,131,78,0,0,None,0,,438098.jpg,0.0,710,317,0,None,False,0,0,Ferreira Vieira,0.0,653,284,False,None,0,0,u,1,3,None,0.0,707,315,0,439,0,2789,5,0.0,0.0,Fábio Vieira,0
2,6,152,True,True,0,100,2,0.3,205651,None,,0,0,-1,1,119.5,188,24,None,,2,4,0.0,8.5,2,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,8.0,5,2,5,0.75,3,52.6,158,23,2,False,154.4,243,23,600,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,69,29,14,0,0,None,0,,205651.jpg,2.5,191,25,0,30,False,0,0.0,Fernando de Jesus,6.2,62,14,False,None,6,0.9,i,1,3,2022-07-04,255.0,66,24,42,1236877,54357,833232,408786,1.2,6.1,G.Jesus,4
2,7,299,True,True,100,100,6,0.35,226597,None,,0,0,4,-4,132.2,177,39,None,,2,2,3.5,4.0,2,0.92,0.05,3.34,0.19,2.42,16.15,0.95,0.14,Gabriel,3.5,75,21,16,0.94,3,79.6,84,12,3,True,412.6,43,14,1538,,2024-11-27T10:30:06.325759Z,64,50,3,0,0,None,0,,226597.jpg,4.6,27,2,0,30,False,0,0.0,dos Santos Magalhães,29.0,9,2,False,None,18,1.05,a,1,3,2020-09-01,251.0,67,3,83,3914780,92605,2312047,101749,0.5,13.0,Gabriel,2
2,10,283,True,True,100,75,6,0.36,219847,None,,-1,1,-2,2,220.2,102,8,None,,1,4,3.2,2.8,0,1.34,0.08,9.11,0.55,7.77,15.63,0.95,0.47,Kai,3.2,92,15,16,0.97,7,115.2,23,6,4,False,372.2,64,10,1480,,2025-01-02T08:00:08.350130Z,78,13,5,0,0,3,0,,219847.jpg,4.4,38,11,0,80,False,0,0.0,Havertz,8.3,42,12,False,None,17,1.03,a,1,3,2023-06-28,559.0,15,8,74,2434166,17070,3085911,105920,0.4,9.5,Havertz,3
0,0,0,False,True,0,0,0,0,463748,None,,0,0,0,0,0.0,510,42,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,446,53,0,0,0,0.0,530,61,5,False,0.0,531,61,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,640,59,0,0,None,0,,463748.jpg,0.0,536,61,0,None,False,0,0,Hein,0.0,573,69,False,None,0,0,u,1,3,None,0.0,475,29,0,0,0,4325,36,0.0,0.0,Hein,0
1,5,235,True,True,100,0,6,0.39,445122,None,,0,0,2,-2,208.3,113,23,None,,2,2,2.8,0.0,0,0.94,0.06,1.65,0.11,0.71,12.14,0.78,0.05,Jurriën,2.8,120,34,12,0.77,1,61.2,128,29,6,False,236.0,169,64,1395,,2025-01-12T22:00:07.815228Z,57,94,9,0,0,None,0,,445122.jpg,3.8,67,15,0,152,False,0,0.0,Timber,5.3,70,25,False,None,16,1.03,a,1,3,2023-07-14,170.0,117,10,64,1161862,15591,713749,85462,0.5,11.2,J.Timber,5
0,0,82,True,True,100,None,1,0.2,85955,None,,0,0,-3,3,64.7,264,165,None,,0,3,0.8,1.3,2,0.47,0.09,0.51,0.1,0.04,4.27,0.84,0.01,Jorge Luiz,0.8,288,138,5,0.99,0,10.4,367,180,7,False,35.8,389,179,456,,2025-01-12T22:00:07.826638Z,47,326,210,0,0,None,0,,85955.jpg,1.3,360,168,0,106,False,0,0.0,Frello Filho,0.2,332,105,False,None,6,1.18,a,1,3,2023-01-31,3.0,407,217,13,27316,922,43880,1049,0.2,2.8,Jorginho,3
0,0,39,True,True,None,None,1,0.28,440854,None,,0,0,-2,2,13.7,380,131,None,,0,2,0.0,0.5,0,0.03,0.01,0.03,0.01,0.00,4.45,1.24,0.0,Jakub,0.0,645,240,5,1.39,0,6.3,399,133,8,False,49.2,369,128,323,,None,48,314,38,0,0,None,0,,440854.jpg,1.6,328,113,0,172,False,0,0.0,Kiwior,0.2,367,130,False,None,2,0.56,a,1,3,2023-01-23,0.0,668,244,13,24366,311,33285,1145,0.0,2.7,Kiwior,0
2,6,236,True,True,100,100,6,0.46,444145,None,,0,0,-2,2,304.6,62,48,None,,1,3,5.0,5.5,1,2.69,0.21,6.05,0.47,3.36,11.88,0.92,0.26,Gabriel,5.0,38,16,12,0.93,5,107.4,40,27,9,False,324.0,98,32,1166,,2024-10-18T16:00:06.884775Z,68,35,17,0,0,None,0,,444145.jpg,4.1,51,21,0,30,False,0,0.0,Martinelli Silva,4.5,84,27,False,None,13,1.0,a,1,3,2019-07-15,446.0,29,15,73,1038604,25577,898435,90773,0.7,10.7,Martinelli,1
0,1,84,True,True,0,None,0,0.0,499175,None,,0,0,0,0,66.8,259,161,None,,0,3,0.0,2.7,6,0.41,0.16,0.71,0.28,0.30,1.59,0.62,0.12,Ethan,2.2,150,62,1,0.39,2,23.3,300,152,12,False,97.0,312,143,230,Muscle injury - Unknown return date,2025-01-04T22:00:06.872110Z,45,422,259,0,0,None,0,,499175.jpg,1.9,274,120,0,241,False,0,0.0,Nwaneri,0.5,257,80,False,None,2,0.78,i,1,3,2022-09-17,69.0,234,132,23,114249,16331,84877,15563,0.5,5.1,Nwaneri,1
